,accelerate,brakes,speed,Cluster
50499,0.0,1.0,1.0,0
82220,0.0,2.0,1.0,0
48754,2.0,1.0,1.0,0
48755,1.0,0.0,0.0,0
48756,0.0,1.0,0.0,0
48757,0.0,1.0,1.0,0
48758,1.0,0.0,1.0,0
48759,1.0,1.0,0.0,0
82219,2.0,1.0,1.0,0
48761,1.0,2.0,1.0,0
48762,1.0,2.0,0.0,0
82218,0.0,2.0,1.0,0
48764,0.0,1.0,0.0,0
48765,1.0,1.0,1.0,0
48766,1.0,0.0,0.0,0
48767,1.0,2.0,0.0,0
48768,0.0,0.0,1.0,0
48769,0.0,1.0,0.0,0
48783,0.0,2.0,1.0,0
48782,0.0,2.0,0.0,0
82211,0.0,2.0,1.0,0
82213,0.0,2.0,0.0,0
48779,1.0,2.0,1.0,0
48778,1.0,1.0,0.0,0
48752,0.0,1.0,2.0,0
48777,0.0,2.0,1.0,0
48775,0.0,0.0,1.0,0
48774,1.0,0.0,1.0,0
48773,0.0,1.0,1.0,0
48772,0.0,1.0,0.0,0
82215,0.0,1.0,0.0,0
82217,1.0,2.0,0.0,0
82214,1.0,2.0,0.0,0
48751,0.0,0.0,0.0,0
48750,0.0,2.0,0.0,0
48749,0.0,1.0,1.0,0
48730,0.0,0.0,2.0,0
48729,0.0,1.0,0.0,0
82228,1.0,1.0,1.0,0
48727,0.0,2.0,0.0,0
48726,0.0,2.0,1.0,0
48725,1.0,1.0,1.0,0
48731,0.0,1.0,0.0,0
48724,1.0,0.0,1.0,0
48722,0.0,1.0,1.0,0
48721,1.0,2.0,1.0,0
48720,0.0,1.0,1.0,0
48719,0.0,1.0,0.0,0
48718,1.0,0.0,0.0,0
48717,1.0,0.0,1.0,0
48723,0.0,1.0,0.0,0
82207,1.0,2.0,0.0,0
48732,1.0,1.0,0.0,0
48734,0.0,2.0,0.0,0
48748,0.0,1.0,1.0,0
48747,1.0,0.0,1.0,0
48746,1.0,1.0,0.0,0
48745,0.0,2.0,0.0,0
48744,0.0,1.0,0.0,0
48743,1.0,1.0,1.0,0
48733,2.0,1.0,1.0,0
48742,1.0,1.0,1.0,0
48740,0.0,2.0,0.0,0
82223,0.0,1.0,2.0,0
82224,0.0,0.0,0.0,0
82225,0.0,2.0,0.0,0
48736,0.0,0.0,0.0,0
82227,1.0,2.0,0.0,0
82222,1.0,1.0,1.0,0
82229,0.0,2.0,0.0,0
48785,1.0,1.0,0.0,0
48787,1.0,1.0,1.0,0
48824,0.0,1.0,0.0,0
48825,0.0,1.0,0.0,0
82189,0.0,1.0,1.0,0
82188,0.0,2.0,1.0,0
48828,1.0,0.0,0.0,0
48829,1.0,2.0,1.0,0
48830,0.0,1.0,1.0,0
48831,0.0,2.0,0.0,0
48832,1.0,2.0,1.0,0
48833,1.0,1.0,0.0,0
48834,1.0,1.0,0.0,0
48835,0.0,2.0,1.0,0
82187,0.0,0.0,1.0,0
82183,1.0,2.0,0.0,0
82182,0.0,0.0,2.0,0
48839,1.0,0.0,0.0,0
48840,0.0,2.0,0.0,0
48854,0.0,1.0,2.0,0
82175,0.0,2.0,1.0,0
82176,1.0,1.0,0.0,0
48851,0.0,1.0,1.0,0
82177,1.0,2.0,1.0,0
82178,0.0,1.0,1.0,0
48823,1.0,0.0,1.0,0
48848,1.0,0.0,1.0,0
48846,1.0,2.0,1.0,0
48845,0.0,2.0,0.0,0
48844,1.0,1.0,1.0,0
48843,1.0,1.0,0.0,0
82179,0.0,1.0,1.0,0
82181,1.0,0.0,1.0,0
48847,1.0,1.0,1.0,0
48822,1.0,2.0,1.0,0
48821,0.0,1.0,0.0,0
82190,1.0,1.0,1.0,0
48801,1.0,2.0,2.0,0
48800,1.0,2.0,1.0,0
48799,0.0,1.0,0.0,0
82198,2.0,1.0,1.0,0
48797,1.0,0.0,1.0,0
48796,1.0,0.0,0.0,0
48802,0.0,0.0,1.0,0
48795,1.0,2.0,1.0,0
48793,1.0,1.0,0.0,0
82199,0.0,2.0,2.0,0
48791,1.0,2.0,0.0,0
48790,1.0,0.0,1.0,0
48789,2.0,1.0,0.0,0
82203,0.0,1.0,0.0,0
48794,0.0,2.0,0.0,0
82204,2.0,2.0,0.0,0
48803,1.0,1.0,0.0,0
48805,0.0,1.0,0.0,0
82191,1.0,1.0,0.0,0
82192,0.0,1.0,1.0,0
48817,0.0,1.0,0.0,0
48816,1.0,2.0,0.0,0
82193,1.0,1.0,1.0,0
82195,0.0,1.0,2.0,0
48804,0.0,1.0,1.0,0
48813,1.0,2.0,1.0,0
48811,0.0,2.0,1.0,0
48810,0.0,0.0,0.0,0
48809,0.0,2.0,1.0,0
82197,1.0,0.0,0.0,0
48807,0.0,2.0,1.0,0
48806,0.0,1.0,0.0,0
82196,0.0,0.0,1.0,0
48715,0.0,1.0,1.0,0
82230,0.0,1.0,1.0,0
48713,0.0,1.0,2.0,0
48610,0.0,1.0,1.0,0
48611,0.0,0.0,1.0,0
82268,1.0,2.0,1.0,0
48613,0.0,2.0,1.0,0
82267,1.0,0.0,1.0,0
48615,1.0,2.0,1.0,0
48616,1.0,0.0,0.0,0
48617,2.0,1.0,1.0,0
48618,1.0,2.0,0.0,0
82266,0.0,1.0,1.0,0
48620,0.0,1.0,1.0,0
82264,1.0,2.0,1.0,0
48622,0.0,1.0,1.0,0
82263,1.0,0.0,1.0,0
48624,0.0,1.0,0.0,0
48625,1.0,1.0,0.0,0
48626,1.0,2.0,1.0,0
48640,0.0,1.0,2.0,0
48639,0.0,1.0,0.0,0
48638,0.0,2.0,1.0,0
82260,0.0,1.0,1.0,0
48636,1.0,1.0,0.0,0
48635,1.0,1.0,1.0,0
48609,0.0,2.0,1.0,0
48634,1.0,2.0,0.0,0
48632,0.0,1.0,0.0,0
48631,0.0,2.0,0.0,0
48630,0.0,0.0,0.0,0
48629,1.0,1.0,1.0,0
48628,1.0,2.0,1.0,0
48627,1.0,2.0,1.0,0
82262,1.0,1.0,1.0,0
48608,0.0,0.0,1.0,0
48607,0.0,0.0,0.0,0
82269,0.0,1.0,1.0,0
48587,0.0,0.0,2.0,0
48586,0.0,2.0,2.0,0
48585,1.0,1.0,1.0,0
48584,1.0,2.0,0.0,0
48583,0.0,1.0,0.0,0
82277,0.0,0.0,1.0,0
82274,0.0,0.0,1.0,0
48581,1.0,2.0,0.0,0
48579,0.0,1.0,0.0,0
48578,0.0,2.0,2.0,0
48577,1.0,0.0,0.0,0
48576,1.0,1.0,1.0,0
48575,0.0,0.0,1.0,0
48574,1.0,1.0,1.0,0
48580,0.0,0.0,0.0,0
48641,1.0,1.0,0.0,0
48589,1.0,2.0,0.0,0
82273,1.0,1.0,0.0,0
48605,1.0,1.0,1.0,0
48604,1.0,1.0,1.0,0
48603,1.0,2.0,1.0,0
82270,0.0,1.0,1.0,0
48601,2.0,2.0,0.0,0
48600,1.0,0.0,2.0,0
48590,1.0,0.0,0.0,0
48599,1.0,2.0,1.0,0
48597,0.0,2.0,0.0,0
48596,0.0,1.0,3.0,0
48595,0.0,1.0,1.0,0
48594,1.0,2.0,0.0,0
82271,0.0,0.0,1.0,0
82272,0.0,0.0,0.0,0
48598,0.0,0.0,1.0,0
82258,0.0,1.0,0.0,0
82257,1.0,1.0,2.0,0
48644,0.0,1.0,0.0,0
48694,0.0,0.0,0.0,0
48693,0.0,2.0,1.0,0
48692,1.0,0.0,0.0,0
