16,8,78
47,65,15
17,54,97
54,57,83
87,3,18
87,32,5
77,27,97
82,87,78
83,37,43
95,5,49
60,39,32
71,97,29
72,6,72
53,45,87
88,36,38
91,61,26
89,29,20
17,24,69
50,72,64
73,86,91
17,8,80
80,27,56
94,37,84
62,100,31
16,8,8
29,93,35
84,88,97
41,90,30
82,54,92
46,75,75
56,60,2
60,71,61
41,23,52
69,46,44
1,93,99
4,30,34
1,100,82
61,53,66
32,58,2
49,45,71
6,40,17
58,77,64
7,53,22
39,3,42
59,5,31
3,91,30
15,1,81
57,79,77
5,67,83
2,19,73
7,80,38
48,87,23
5,16,72
76,82,71
60,29,36
23,59,88
52,55,38
70,91,91
54,64,75
17,99,38
87,26,72
12,91,92
15,7,63
7,90,73
46,89,51
10,26,64
54,27,6
1,87,4
21,80,43
97,55,34
29,77,99
34,73,58
50,15,22
23,6,18
41,32,35
74,94,64
69,79,15
58,27,57
35,88,56
19,100,32
55,100,27
37,37,92
48,48,19
61,63,78
21,68,92
33,13,6
49,21,70
44,10,27
37,19,13
100,52,98
80,30,38
92,47,91
9,55,91
72,13,43
50,69,34
47,33,5
96,39,78
61,6,52
35,82,70
63,17,54
